,name,dataset,version,country,x,y,fld_prop,nonfld_prop,null_prop,window_a,window_b,mask,split
0,BF0742031,mappingafrica,v1.3.0,BF,-0.318500000000004,11.1875,0.1259566326530612,0.8740433673469388,0.0,,mappingafrica-s2-256/window_b/BF0742031_S2_2018-12.tif,mappingafrica-256/labels/BF0742031_900000_2018-12.tif,validate
1,BF0743326,mappingafrica,v1.3.0,BF,-0.328500000000002,11.1825,0.0294563137755102,0.9705436862244898,0.0,,mappingafrica-s2-256/window_b/BF0743326_S2_2018-12.tif,mappingafrica-256/labels/BF0743326_900001_2018-12.tif,train
2,BF0743327,mappingafrica,v1.3.0,BF,-0.323500000000003,11.1825,0.2109574298469387,0.7890425701530613,0.0,,mappingafrica-s2-256/window_b/BF0743327_S2_2018-12.tif,mappingafrica-256/labels/BF0743327_900002_2018-12.tif,train
3,BF0743329,mappingafrica,v1.3.0,BF,-0.313500000000005,11.1825,0.3107461734693877,0.6892538265306123,0.0,,mappingafrica-s2-256/window_b/BF0743329_S2_2018-12.tif,mappingafrica-256/labels/BF0743329_900003_2018-12.tif,train
4,BF0776469,mappingafrica,v1.3.0,BF,-0.448500000000003,11.0475,0.0892259247448979,0.910774075255102,0.0,,mappingafrica-s2-256/window_b/BF0776469_S2_2018-12.tif,mappingafrica-256/labels/BF0776469_900004_2018-12.tif,train
5,BF0778317,mappingafrica,v1.3.0,BF,-2.6185,11.0375,0.4415656887755102,0.5584343112244898,0.0,,mappingafrica-s2-256/window_b/BF0778317_S2_2018-12.tif,mappingafrica-256/labels/BF0778317_900005_2018-12.tif,train
6,BF0778320,mappingafrica,v1.3.0,BF,-2.6035,11.0375,0.2203244579081632,0.7796755420918368,0.0,,mappingafrica-s2-256/window_b/BF0778320_S2_2018-12.tif,mappingafrica-256/labels/BF0778320_900006_2018-12.tif,train
7,BF0778625,mappingafrica,v1.3.0,BF,-1.0785,11.0375,0.1591796875,0.8408203125,0.0,,mappingafrica-s2-256/window_b/BF0778625_S2_2018-12.tif,mappingafrica-256/labels/BF0778625_900007_2018-12.tif,train
8,BF0779789,mappingafrica,v1.3.0,BF,-0.908500000000004,11.0325,0.4007892219387755,0.5992107780612246,0.0,,mappingafrica-s2-256/window_b/BF0779789_S2_2018-12.tif,mappingafrica-256/labels/BF0779789_900008_2018-12.tif,train
9,BF0780564,mappingafrica,v1.3.0,BF,-2.6435,11.0275,0.2948022959183674,0.7051977040816326,0.0,,mappingafrica-s2-256/window_b/BF0780564_S2_2018-12.tif,mappingafrica-256/labels/BF0780564_900009_2018-12.tif,train
10,BF0780843,mappingafrica,v1.3.0,BF,-1.2485,11.0275,0.1556321747448979,0.8443678252551021,0.0,,mappingafrica-s2-256/window_b/BF0780843_S2_2018-12.tif,mappingafrica-256/labels/BF0780843_900010_2018-12.tif,train
11,BF0780844,mappingafrica,v1.3.0,BF,-1.2435,11.0275,0.3329679528061224,0.6670320471938775,0.0,,mappingafrica-s2-256/window_b/BF0780844_S2_2018-12.tif,mappingafrica-256/labels/BF0780844_900011_2018-12.tif,train
12,BF0780845,mappingafrica,v1.3.0,BF,-1.2385,11.0275,0.0812141262755102,0.9187858737244898,0.0,,mappingafrica-s2-256/window_b/BF0780845_S2_2018-12.tif,mappingafrica-256/labels/BF0780845_900012_2018-12.tif,train
13,BF0781637,mappingafrica,v1.3.0,BF,-2.8335,11.0225,0.1273716517857142,0.8726283482142858,0.0,,mappingafrica-s2-256/window_b/BF0781637_S2_2018-12.tif,mappingafrica-256/labels/BF0781637_900013_2018-12.tif,train
14,BF0781686,mappingafrica,v1.3.0,BF,-2.5885,11.0225,0.4137635522959184,0.5862364477040816,0.0,,mappingafrica-s2-256/window_b/BF0781686_S2_2018-12.tif,mappingafrica-256/labels/BF0781686_900014_2018-12.tif,train
15,BF0781955,mappingafrica,v1.3.0,BF,-1.2435,11.0225,0.1078404017857142,0.8921595982142858,0.0,,mappingafrica-s2-256/window_b/BF0781955_S2_2018-12.tif,mappingafrica-256/labels/BF0781955_900015_2018-12.tif,train
16,BF0781956,mappingafrica,v1.3.0,BF,-1.2385,11.0225,0.2114955357142857,0.7885044642857143,0.0,,mappingafrica-s2-256/window_b/BF0781956_S2_2018-12.tif,mappingafrica-256/labels/BF0781956_900016_2018-12.tif,train
17,BF0782737,mappingafrica,v1.3.0,BF,-2.8185,11.0175,0.1269929846938775,0.8730070153061225,0.0,,mappingafrica-s2-256/window_b/BF0782737_S2_2018-12.tif,mappingafrica-256/labels/BF0782737_900017_2018-12.tif,train
18,BF0783077,mappingafrica,v1.3.0,BF,-0.953500000000002,11.0175,0.1231066645408163,0.8768933354591837,0.0,,mappingafrica-s2-256/window_b/BF0783077_S2_2018-12.tif,mappingafrica-256/labels/BF0783077_900018_2018-12.tif,train
19,BF0783113,mappingafrica,v1.3.0,BF,-0.773500000000002,11.0175,0.1504304846938775,0.8495695153061225,0.0,,mappingafrica-s2-256/window_b/BF0783113_S2_2018-12.tif,mappingafrica-256/labels/BF0783113_900019_2018-12.tif,train
20,BF0783795,mappingafrica,v1.3.0,BF,-2.8085,11.0125,0.1200175382653061,0.8799824617346939,0.0,,mappingafrica-s2-256/window_b/BF0783795_S2_2018-12.tif,mappingafrica-256/labels/BF0783795_900020_2018-12.tif,train
21,BF0784867,mappingafrica,v1.3.0,BF,-2.6885,11.0075,0.4023636798469387,0.5976363201530612,0.0,,mappingafrica-s2-256/window_b/BF0784867_S2_2018-12.tif,mappingafrica-256/labels/BF0784867_900021_2018-12.tif,test
22,BF0784888,mappingafrica,v1.3.0,BF,-2.5835,11.0075,0.6570471938775511,0.3429528061224489,0.0,,mappingafrica-s2-256/window_b/BF0784888_S2_2018-12.tif,mappingafrica-256/labels/BF0784888_900022_2018-12.tif,train
23,BF0787143,mappingafrica,v1.3.0,BF,-0.998500000000003,10.9975,0.1407445790816326,0.8592554209183674,0.0,,mappingafrica-s2-256/window_b/BF0787143_S2_2018-12.tif,mappingafrica-256/labels/BF0787143_900023_2018-12.tif,train
24,BF0787155,mappingafrica,v1.3.0,BF,-0.938500000000001,10.9975,0.0751155931122449,0.9248844068877552,0.0,,mappingafrica-s2-256/window_b/BF0787155_S2_2018-12.tif,mappingafrica-256/labels/BF0787155_900024_2018-12.tif,train
25,BF0787187,mappingafrica,v1.3.0,BF,-0.748500000000004,10.9975,0.4573102678571428,0.5426897321428572,0.0,,mappingafrica-s2-256/window_b/BF0787187_S2_2018-12.tif,mappingafrica-256/labels/BF0787187_900025_2018-12.tif,train
26,BF0787188,mappingafrica,v1.3.0,BF,-0.743500000000005,10.9975,0.1445910395408163,0.8554089604591837,0.0,,mappingafrica-s2-256/window_b/BF0787188_S2_2018-12.tif,mappingafrica-256/labels/BF0787188_900026_2018-12.tif,train
27,BF0789371,mappingafrica,v1.3.0,BF,-0.913500000000003,10.9825,0.0009367028061224,0.9990632971938777,0.0,,mappingafrica-s2-256/window_b/BF0789371_S2_2018-12.tif,mappingafrica-256/labels/BF0789371_900027_2018-12.tif,train
28,BF0789376,mappingafrica,v1.3.0,BF,-0.888500000000004,10.9825,0.1211933992346938,0.8788066007653061,0.0,,mappingafrica-s2-256/window_b/BF0789376_S2_2018-12.tif,mappingafrica-256/labels/BF0789376_900028_2018-12.tif,train
29,BF0789941,mappingafrica,v1.3.0,BF,-2.8785,10.9775,0.5721061862244898,0.4278938137755101,0.0,,mappingafrica-s2-256/window_b/BF0789941_S2_2018-12.tif,mappingafrica-256/labels/BF0789941_900029_2018-12.tif,train
30,BF0846776,mappingafrica,v1.3.0,BF,-2.8685,10.4275,0.2610809948979591,0.7389190051020409,0.0,,mappingafrica-s2-256/window_b/BF0846776_S2_2018-12.tif,mappingafrica-256/labels/BF0846776_900030_2018-12.tif,train
31,BF0847856,mappingafrica,v1.3.0,BF,-2.8335,10.4175,0.3555086096938775,0.6444913903061225,0.0,,mappingafrica-s2-256/window_b/BF0847856_S2_2018-12.tif,mappingafrica-256/labels/BF0847856_900031_2018-12.tif,train
32,BF0854752,mappingafrica,v1.3.0,BF,-2.8835,10.3525,0.0221221301020408,0.9778778698979592,0.0,,mappingafrica-s2-256/window_b/BF0854752_S2_2018-12.tif,mappingafrica-256/labels/BF0854752_900032_2018-12.tif,train
33,BF0865894,mappingafrica,v1.3.0,BF,-2.8235,10.2375,0.3059829400510204,0.6940170599489797,0.0,,mappingafrica-s2-256/window_b/BF0865894_S2_2018-12.tif,mappingafrica-256/labels/BF0865894_900033_2018-12.tif,test
34,BF0870553,mappingafrica,v1.3.0,BF,-2.8035,10.1875,0.4902144451530612,0.5097855548469388,0.0,,mappingafrica-s2-256/window_b/BF0870553_S2_2018-12.tif,mappingafrica-256/labels/BF0870553_900034_2018-12.tif,train
